"Date","discharge_cfs"
2017-01-27,3228.95833333333
2017-01-28,3200.72916666667
2017-01-29,3180.72916666667
2017-01-30,3153.22916666667
2017-01-31,3140.625
2017-02-01,3112.1875
2017-02-02,3161.45833333333
2017-02-03,3263.95833333333
2017-02-04,3177.70833333333
2017-02-05,3157.1875
2017-02-06,3245.20833333333
2017-02-07,4118.54166666667
2017-02-08,3753.125
2017-02-09,4212.29166666667
2017-02-10,4196.04166666667
2017-02-11,4181.66666666667
2017-02-12,4166.66666666667
2017-02-13,4167.5
2017-02-14,4149.0625
2017-02-15,4104.0625
2017-02-16,4140.41666666667
2017-02-17,4251.77083333333
2017-02-18,4421.5625
2017-02-19,4268.85416666667
2017-02-20,5311.77083333333
2017-02-21,5365.10416666667
2017-02-22,5098.64583333333
2017-02-23,5070
2017-02-24,4711.45833333333
2017-02-25,4834.47916666667
2017-02-26,4782.1875
2017-02-27,4747.60416666667
2017-02-28,4655.9375
2017-03-01,4388.4375
2017-03-02,4258.22916666667
2017-03-03,4208.33333333333
2017-03-04,4167.39583333333
2017-03-05,4154.6875
2017-03-06,4087.29166666667
2017-03-07,4022.29166666667
2017-03-08,3973.125
2017-03-09,3928.33333333333
2017-03-10,3874.58333333333
2017-03-11,3542.1875
2017-03-12,3459.78260869565
2017-03-13,3426.875
2017-03-14,3379.79166666667
2017-03-15,3348.85416666667
2017-03-16,3318.95833333333
2017-03-17,3269.6875
2017-03-18,3227.08333333333
2017-03-19,2914.375
2017-03-20,2811.875
2017-03-21,2812.08333333333
2017-03-22,2033.48958333333
2017-03-23,1472.1875
2017-03-24,1488.22916666667
2017-03-25,1487.5
2017-03-26,1473.75
2017-03-27,1482.60416666667
2017-03-28,1475.83333333333
2017-03-29,1467.5
2017-03-30,1099.95833333333
2017-03-31,766.083333333333
2017-04-01,574.15625
2017-04-02,471.135416666667
2017-04-03,376.498958333333
2017-04-04,304.15625
2017-04-05,303.5625
2017-04-06,573.427083333333
2017-04-07,1331.66666666667
2017-04-08,1414.27083333333
2017-04-09,1305
2017-04-10,1176.45833333333
2017-04-11,1169.16666666667
2017-04-12,1171.04166666667
2017-04-13,1189.6875
2017-04-14,1184.375
2017-04-15,1181.35416666667
2017-04-16,1350.9375
2017-04-17,1443.85416666667
2017-04-18,1442.39583333333
2017-04-19,1170.9375
2017-04-20,1023.02083333333
2017-04-21,1021.35416666667
2017-04-22,722.520833333333
2017-04-23,455.520833333333
2017-04-24,283.666666666667
2017-04-25,145.7375
2017-04-26,106.5875
2017-04-27,110.029166666667
2017-04-28,146.286458333333
2017-04-29,246.427083333333
2017-04-30,222.15625
2017-05-01,161.453125
2017-05-02,145.230208333333
2017-05-03,225.09375
2017-05-04,330.145833333333
2017-05-05,483.395833333333
2017-05-06,607.395833333333
2017-05-07,469.979166666667
2017-05-08,349.989583333333
2017-05-09,302.322916666667
2017-05-10,321.9375
2017-05-11,362.65625
2017-05-12,384.260416666667
2017-05-13,410.447916666667
2017-05-14,455.684782608696
2017-05-15,488.708333333333
2017-05-16,520.604166666667
2017-05-17,564.427083333333
2017-05-18,588.052083333333
2017-05-19,590
2017-05-20,586.916666666667
2017-05-21,597.979166666667
2017-05-22,582.510416666667
2017-05-23,541.833333333333
2017-05-24,552.895833333333
2017-05-25,540.458333333333
2017-05-26,512.625
2017-05-27,490.479166666667
2017-05-28,447.635416666667
2017-05-29,399.9375
2017-05-30,429.020833333333
2017-05-31,463.75
2017-06-01,459.614583333333
2017-06-02,447.416666666667
2017-06-03,423.489583333333
2017-06-04,439.59375
2017-06-05,463.072916666667
2017-06-06,503.59375
2017-06-07,498.1875
2017-06-08,465.760416666667
2017-06-09,422.5
2017-06-10,377.510416666667
2017-06-11,346.34375
2017-06-12,292.96875
2017-06-13,278.635416666667
2017-06-14,329.03125
2017-06-15,385.958333333333
2017-06-16,449.90625
2017-06-17,480.458333333333
2017-06-18,490.322916666667
2017-06-19,516.666666666667
2017-06-20,546.427083333333
2017-06-21,560.791666666667
2017-06-22,573.583333333333
2017-06-23,582.604166666667
2017-06-24,589.489583333333
2017-06-25,591.010416666667
2017-06-26,591.03125
2017-06-27,600.21875
2017-06-28,605.90625
2017-06-29,612.854166666667
2017-06-30,614.125
2017-07-01,614.541666666667
2017-07-02,629.59375
2017-07-03,626.1875
2017-07-04,593.729166666667
2017-07-05,581.09375
2017-07-06,582.6875
2017-07-07,583.229166666667
2017-07-08,590.739583333333
2017-07-09,592.6875
2017-07-10,595.125
2017-07-11,590.614583333333
2017-07-12,573.5
2017-07-13,562.739583333333
2017-07-14,558.239583333333
2017-07-15,524.369565217391
2017-07-16,505.572916666667
2017-07-17,497.052083333333
2017-07-18,511.041666666667
2017-07-19,563.083333333333
2017-07-20,589.625
2017-07-21,587.989583333333
2017-07-22,541.635416666667
2017-07-23,504.052083333333
2017-07-24,529.8125
2017-07-25,564.75
2017-07-26,571.166666666667
2017-07-27,567.53125
2017-07-28,569.895833333333
2017-07-29,563
2017-07-30,534.291666666667
2017-07-31,502.15625
2017-08-01,491.041666666667
2017-08-02,511.770833333333
2017-08-03,546.729166666667
2017-08-04,559.166666666667
2017-08-05,552.677083333333
2017-08-06,531.5
2017-08-07,502.427083333333
